CPF,Matéria,Pontuação_aluno,Percentual_Acerto,Comparação Média
010.715.382-38,Física,1,0.14285714285714285,Abaixo da Média
010.715.382-38,Geografia ,0,0.0,Abaixo da Média
010.715.382-38,História ,1,0.16666666666666666,Abaixo da Média
010.715.382-38,Inglês,3,0.6000000000000001,Acima da Média
010.715.382-38,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
010.715.382-38,Matemática,0,0.0,Abaixo da Média
010.715.382-38,Português ,0,0.0,Abaixo da Média
010.715.382-38,Química ,3,0.42857142857142855,Acima da Média
020.3102.240-101,Física,1,0.14285714285714285,Abaixo da Média
020.3102.240-101,Geografia ,0,0.0,Abaixo da Média
020.3102.240-101,História ,2,0.3333333333333333,Acima da Média
020.3102.240-101,Inglês,0,0.0,Abaixo da Média
020.3102.240-101,Interdisciplinar ,2,0.2857142857142857,Acima da Média
020.3102.240-101,Matemática,3,0.3333333333333333,Acima da Média
020.3102.240-101,Português ,4,0.3333333333333333,Acima da Média
020.3102.240-101,Química ,2,0.2857142857142857,Acima da Média
030.1018.323-88,Física,0,0.0,Abaixo da Média
030.1018.323-88,Geografia ,1,0.14285714285714285,Abaixo da Média
030.1018.323-88,História ,1,0.16666666666666666,Abaixo da Média
030.1018.323-88,Inglês,2,0.4,Acima da Média
030.1018.323-88,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
030.1018.323-88,Matemática,2,0.2222222222222222,Acima da Média
030.1018.323-88,Português ,2,0.16666666666666666,Abaixo da Média
030.1018.323-88,Química ,0,0.0,Abaixo da Média
031.378.811-44,Física,0,0.0,Abaixo da Média
031.378.811-44,Geografia ,0,0.0,Abaixo da Média
031.378.811-44,História ,3,0.5,Acima da Média
031.378.811-44,Inglês,1,0.2,Acima da Média
031.378.811-44,Interdisciplinar ,2,0.2857142857142857,Acima da Média
031.378.811-44,Matemática,2,0.2222222222222222,Acima da Média
031.378.811-44,Português ,3,0.25,Acima da Média
031.378.811-44,Química ,1,0.14285714285714285,Abaixo da Média
075.835.847-48,Física,0,0.0,Abaixo da Média
075.835.847-48,Geografia ,2,0.2857142857142857,Acima da Média
075.835.847-48,História ,1,0.16666666666666666,Abaixo da Média
075.835.847-48,Inglês,2,0.4,Acima da Média
075.835.847-48,Interdisciplinar ,0,0.0,Abaixo da Média
075.835.847-48,Matemática,4,0.4444444444444444,Acima da Média
075.835.847-48,Português ,1,0.08333333333333333,Abaixo da Média
075.835.847-48,Química ,3,0.42857142857142855,Acima da Média
082.9110.143-31,Física,1,0.14285714285714285,Abaixo da Média
082.9110.143-31,Geografia ,1,0.14285714285714285,Abaixo da Média
082.9110.143-31,História ,1,0.16666666666666666,Abaixo da Média
082.9110.143-31,Inglês,0,0.0,Abaixo da Média
082.9110.143-31,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
082.9110.143-31,Matemática,2,0.2222222222222222,Acima da Média
082.9110.143-31,Português ,4,0.3333333333333333,Acima da Média
082.9110.143-31,Química ,0,0.0,Abaixo da Média
1011.1075.166-41,Física,1,0.14285714285714285,Abaixo da Média
1011.1075.166-41,Geografia ,3,0.42857142857142855,Acima da Média
1011.1075.166-41,História ,1,0.16666666666666666,Abaixo da Média
1011.1075.166-41,Inglês,1,0.2,Acima da Média
1011.1075.166-41,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
1011.1075.166-41,Matemática,2,0.2222222222222222,Acima da Média
1011.1075.166-41,Português ,1,0.08333333333333333,Abaixo da Média
1011.1075.166-41,Química ,3,0.42857142857142855,Acima da Média
1025.755.3106-42,Física,2,0.2857142857142857,Acima da Média
1025.755.3106-42,Geografia ,3,0.42857142857142855,Acima da Média
1025.755.3106-42,História ,2,0.3333333333333333,Acima da Média
1025.755.3106-42,Inglês,0,0.0,Abaixo da Média
1025.755.3106-42,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
1025.755.3106-42,Matemática,2,0.2222222222222222,Acima da Média
1025.755.3106-42,Português ,3,0.25,Acima da Média
1025.755.3106-42,Química ,2,0.2857142857142857,Acima da Média
1025.855.567-07,Física,1,0.14285714285714285,Abaixo da Média
1025.855.567-07,Geografia ,3,0.42857142857142855,Acima da Média
1025.855.567-07,História ,2,0.3333333333333333,Acima da Média
1025.855.567-07,Inglês,0,0.0,Abaixo da Média
1025.855.567-07,Interdisciplinar ,2,0.2857142857142857,Acima da Média
1025.855.567-07,Matemática,1,0.1111111111111111,Abaixo da Média
1025.855.567-07,Português ,3,0.25,Acima da Média
1025.855.567-07,Química ,1,0.14285714285714285,Abaixo da Média
1050.541.291-65,Física,1,0.14285714285714285,Abaixo da Média
1050.541.291-65,Geografia ,2,0.2857142857142857,Acima da Média
1050.541.291-65,História ,0,0.0,Abaixo da Média
1050.541.291-65,Inglês,2,0.4,Acima da Média
1050.541.291-65,Interdisciplinar ,4,0.5714285714285714,Acima da Média
1050.541.291-65,Matemática,1,0.1111111111111111,Abaixo da Média
1050.541.291-65,Português ,4,0.3333333333333333,Acima da Média
1050.541.291-65,Química ,0,0.0,Abaixo da Média
10710.692.242-23,Física,3,0.42857142857142855,Acima da Média
10710.692.242-23,Geografia ,1,0.14285714285714285,Abaixo da Média
10710.692.242-23,História ,1,0.16666666666666666,Abaixo da Média
10710.692.242-23,Inglês,0,0.0,Abaixo da Média
10710.692.242-23,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
10710.692.242-23,Matemática,3,0.3333333333333333,Acima da Média
10710.692.242-23,Português ,2,0.16666666666666666,Abaixo da Média
10710.692.242-23,Química ,3,0.42857142857142855,Acima da Média
1082.967.952-23,Física,1,0.14285714285714285,Abaixo da Média
1082.967.952-23,Geografia ,0,0.0,Abaixo da Média
1082.967.952-23,História ,2,0.3333333333333333,Acima da Média
1082.967.952-23,Inglês,0,0.0,Abaixo da Média
1082.967.952-23,Interdisciplinar ,2,0.2857142857142857,Acima da Média
1082.967.952-23,Matemática,0,0.0,Abaixo da Média
1082.967.952-23,Português ,2,0.16666666666666666,Abaixo da Média
1082.967.952-23,Química ,3,0.42857142857142855,Acima da Média
1084.343.435-85,Física,2,0.2857142857142857,Acima da Média
1084.343.435-85,Geografia ,1,0.14285714285714285,Abaixo da Média
1084.343.435-85,História ,1,0.16666666666666666,Abaixo da Média
1084.343.435-85,Inglês,1,0.2,Acima da Média
1084.343.435-85,Interdisciplinar ,4,0.5714285714285714,Acima da Média
1084.343.435-85,Matemática,3,0.3333333333333333,Acima da Média
1084.343.435-85,Português ,3,0.25,Acima da Média
1084.343.435-85,Química ,2,0.2857142857142857,Acima da Média
1088.623.545-15,Física,2,0.2857142857142857,Acima da Média
1088.623.545-15,Geografia ,2,0.2857142857142857,Acima da Média
1088.623.545-15,História ,1,0.16666666666666666,Abaixo da Média
1088.623.545-15,Inglês,0,0.0,Abaixo da Média
1088.623.545-15,Interdisciplinar ,4,0.5714285714285714,Acima da Média
1088.623.545-15,Matemática,2,0.2222222222222222,Acima da Média
1088.623.545-15,Português ,2,0.16666666666666666,Abaixo da Média
1088.623.545-15,Química ,1,0.14285714285714285,Abaixo da Média
142.101.996-84,Física,1,0.14285714285714285,Abaixo da Média
142.101.996-84,Geografia ,1,0.14285714285714285,Abaixo da Média
142.101.996-84,História ,2,0.3333333333333333,Acima da Média
142.101.996-84,Inglês,1,0.2,Acima da Média
142.101.996-84,Interdisciplinar ,0,0.0,Abaixo da Média
142.101.996-84,Matemática,1,0.1111111111111111,Abaixo da Média
142.101.996-84,Português ,4,0.3333333333333333,Acima da Média
142.101.996-84,Química ,1,0.14285714285714285,Abaixo da Média
143.626.132-16,Física,0,0.0,Abaixo da Média
143.626.132-16,Geografia ,0,0.0,Abaixo da Média
143.626.132-16,História ,2,0.3333333333333333,Acima da Média
143.626.132-16,Inglês,0,0.0,Abaixo da Média
143.626.132-16,Interdisciplinar ,0,0.0,Abaixo da Média
143.626.132-16,Matemática,3,0.3333333333333333,Acima da Média
143.626.132-16,Português ,3,0.25,Acima da Média
143.626.132-16,Química ,0,0.0,Abaixo da Média
157.145.658-62,Física,3,0.42857142857142855,Acima da Média
157.145.658-62,Geografia ,2,0.2857142857142857,Acima da Média
157.145.658-62,História ,2,0.3333333333333333,Acima da Média
157.145.658-62,Inglês,0,0.0,Abaixo da Média
157.145.658-62,Interdisciplinar ,2,0.2857142857142857,Acima da Média
157.145.658-62,Matemática,1,0.1111111111111111,Abaixo da Média
157.145.658-62,Português ,2,0.16666666666666666,Abaixo da Média
157.145.658-62,Química ,5,0.7142857142857142,Acima da Média
158.123.1023-65,Física,2,0.2857142857142857,Acima da Média
158.123.1023-65,Geografia ,0,0.0,Abaixo da Média
158.123.1023-65,História ,1,0.16666666666666666,Abaixo da Média
158.123.1023-65,Inglês,3,0.6000000000000001,Acima da Média
158.123.1023-65,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
158.123.1023-65,Matemática,1,0.1111111111111111,Abaixo da Média
158.123.1023-65,Português ,1,0.08333333333333333,Abaixo da Média
158.123.1023-65,Química ,1,0.14285714285714285,Abaixo da Média
159.1009.987-32,Física,3,0.42857142857142855,Acima da Média
159.1009.987-32,Geografia ,2,0.2857142857142857,Acima da Média
159.1009.987-32,História ,0,0.0,Abaixo da Média
159.1009.987-32,Inglês,0,0.0,Abaixo da Média
159.1009.987-32,Interdisciplinar ,2,0.2857142857142857,Acima da Média
159.1009.987-32,Matemática,1,0.1111111111111111,Abaixo da Média
159.1009.987-32,Português ,2,0.16666666666666666,Abaixo da Média
159.1009.987-32,Química ,2,0.2857142857142857,Acima da Média
165.6107.711-08,Física,1,0.14285714285714285,Abaixo da Média
165.6107.711-08,Geografia ,1,0.14285714285714285,Abaixo da Média
165.6107.711-08,História ,0,0.0,Abaixo da Média
165.6107.711-08,Inglês,3,0.6000000000000001,Acima da Média
165.6107.711-08,Interdisciplinar ,0,0.0,Abaixo da Média
165.6107.711-08,Matemática,3,0.3333333333333333,Acima da Média
165.6107.711-08,Português ,2,0.16666666666666666,Abaixo da Média
165.6107.711-08,Química ,0,0.0,Abaixo da Média
176.521.4107-68,Física,2,0.2857142857142857,Acima da Média
176.521.4107-68,Geografia ,2,0.2857142857142857,Acima da Média
176.521.4107-68,História ,0,0.0,Abaixo da Média
176.521.4107-68,Inglês,1,0.2,Acima da Média
176.521.4107-68,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
176.521.4107-68,Matemática,1,0.1111111111111111,Abaixo da Média
176.521.4107-68,Português ,3,0.25,Acima da Média
176.521.4107-68,Química ,2,0.2857142857142857,Acima da Média
177.312.677-28,Física,1,0.14285714285714285,Abaixo da Média
177.312.677-28,Geografia ,5,0.7142857142857142,Acima da Média
177.312.677-28,História ,1,0.16666666666666666,Abaixo da Média
177.312.677-28,Inglês,0,0.0,Abaixo da Média
177.312.677-28,Interdisciplinar ,2,0.2857142857142857,Acima da Média
177.312.677-28,Matemática,2,0.2222222222222222,Acima da Média
177.312.677-28,Português ,4,0.3333333333333333,Acima da Média
177.312.677-28,Química ,2,0.2857142857142857,Acima da Média
181.950.873-16,Física,1,0.14285714285714285,Abaixo da Média
181.950.873-16,Geografia ,0,0.0,Abaixo da Média
181.950.873-16,História ,3,0.5,Acima da Média
181.950.873-16,Inglês,1,0.2,Acima da Média
181.950.873-16,Interdisciplinar ,1,0.14285714285714285,Abaixo da Média
181.950.873-16,Matemática,0,0.0,Abaixo da Média
181.950.873-16,Português ,2,0.16666666666666666,Abaixo da Média
181.950.873-16,Química ,2,0.2857142857142857,Acima da Média
190.7109.476-80,Física,0,0.0,Abaixo da Média
190.7109.476-80,Geografia ,1,0.14285714285714285,Abaixo da Média
190.7109.476-80,História ,0,0.0,Abaixo da Média
190.7109.476-80,Inglês,0,0.0,Abaixo da Média
190.7109.476-80,Interdisciplinar ,0,0.0,Abaixo da Média
190.7109.476-80,Matemática,0,0.0,Abaixo da Média
190.7109.476-80,Português ,4,0.3333333333333333,Acima da Média
190.7109.476-80,Química ,1,0.14285714285714285,Abaixo da Média
196.010.796-100,Física,1,0.14285714285714285,Abaixo da Média
196.010.796-100,Geografia ,1,0.14285714285714285,Abaixo da Média
196.010.796-100,História ,2,0.3333333333333333,Acima da Média
