,CPF,Cursos
0,666.826.250-80,Administração
1,9710.773.1042-63,Farmácia 
2,416.285.625-67,Engenharia Civil
3,5110.924.887-27,Geografia 
4,669.437.533-92,Geografia 
5,299.727.975-77,Farmácia 
6,1011.1075.166-41,Educação Física
7,946.346.765-51,Educação Física
8,337.272.184-92,Administração
9,954.364.444-77,Design
10,246.492.996-63,Geologia 
11,1084.343.435-85,Educação Física
12,528.483.305-23,Direito
13,695.292.474-41,Medicina 
14,303.876.908-33,Educação Física
15,245.6310.333-53,Pedagofgia 
16,827.669.9105-64,Pedagofgia 
17,387.109.233-210,Letras Francês 
18,863.637.999-92,Letras Francês 
19,688.118.5310-44,Enfermagem 
20,581.472.950-76,Enfermagem 
21,945.925.773-51,Relações Internacionais 
22,916.629.522-43,Engenharia Mecânica
23,262.513.684-16,Letras Francês 
24,350.472.138-210,Relações Internacionais 
25,223.473.799-75,Relações Internacionais 
26,973.700.662-92,Pedagofgia 
27,836.932.223-98,Farmácia 
28,772.073.790-00,Pedagofgia 
29,966.187.877-17,Farmácia 
30,143.626.132-16,Pedagofgia 
31,840.1045.610-73,Farmácia 
32,010.715.382-38,Educação Física
33,954.023.248-72,Engenharia Civil
34,10710.692.242-23,Economia 
35,357.811.264-73,Farmácia 
36,559.810.261-75,Geografia 
37,371.934.306-03,Engenharia Civil
38,158.123.1023-65,Medicina 
39,954.485.258-27,Engenharia Sanitária 
40,1082.967.952-23,Geologia 
41,717.871.192-13,Administração
42,524.1062.153-27,Engenharia Civil
43,374.281.953-87,Educação Física
44,835.8010.389-38,Medicina 
45,284.278.846-46,Administração
46,159.1009.987-32,Administração
47,950.912.141-81,Odontologia 
48,142.101.996-84,Geologia 
49,945.261.932-17,Direito
50,569.2110.227-55,Biologia
51,618.426.542-210,Letras Francês 
52,371.629.499-81,Odontologia 
53,225.1057.355-73,Administração
54,491.541.870-31,Biologia
55,693.834.533-22,Design
56,256.860.1057-23,Administração
57,727.526.1910-16,Geologia 
58,996.133.646-85,Biologia
59,851.492.384-40,Direito
60,451.349.9105-310,Educação Física
61,638.1109.7310-53,Direito
62,9510.776.144-85,Administração
63,373.232.366-69,Design
64,176.521.4107-68,Geografia 
65,668.265.823-87,Economia 
66,190.7109.476-80,Geologia 
67,426.234.993-109,Administração
68,165.6107.711-08,Farmácia 
69,673.1033.563-34,Relações Internacionais 
70,881.737.112-19,Letras Francês 
71,181.950.873-16,Odontologia 
72,082.9110.143-31,Biologia
73,337.872.10410-44,Engenharia Sanitária 
74,675.643.640-59,Geologia 
75,1025.855.567-07,Educação Física
76,940.775.345-49,Letras Francês 
77,688.645.354-20,Enfermagem 
78,031.378.811-44,Farmácia 
79,5510.4610.0102-75,Geologia 
80,646.347.668-710,Relações Internacionais 
81,2107.492.8105-22,Educação Física
82,859.566.651-72,Engenharia Mecânica
83,075.835.847-48,Farmácia 
84,728.6101.395-55,Relações Internacionais 
85,289.866.375-910,Enfermagem 
86,949.1093.645-25,Enfermagem 
87,984.145.383-61,Pedagofgia 
88,554.123.055-44,Odontologia 
89,7810.713.0710-710,Geografia 
90,623.185.776-79,Relações Internacionais 
91,668.743.168-55,Direito
92,614.0100.731-98,Administração
93,1025.755.3106-42,Geologia 
94,020.3102.240-101,Letras Francês 
95,840.191.371-45,Pedagofgia 
96,924.364.635-79,Pedagofgia 
97,818.1095.1021-85,Design
98,935.788.418-1010,Farmácia 
99,1050.541.291-65,Letras Francês 
100,345.357.181-63,Geologia 
101,498.423.478-74,Letras Francês 
102,381.873.631-61,Engenharia Civil
103,1088.623.545-15,Geologia 
104,6310.891.742-49,Geologia 
105,493.1047.216-26,Design
106,698.831.740-41,Administração
107,157.145.658-62,Medicina 
108,030.1018.323-88,Relações Internacionais 
109,911.265.956-17,Engenharia Sanitária 
110,755.449.445-72,Geologia 
111,177.312.677-28,Farmácia 
112,246.913.998-102,Relações Internacionais 
113,557.801.099-1010,Direito
114,497.231.9310-47,Relações Internacionais 
115,494.7710.995-48,Administração
116,283.387.1001-67,Engenharia Civil
117,7710.140.480-62,Medicina 
118,234.160.287-09,Geografia 
119,423.140.430-64,Farmácia 
120,196.010.796-100,Geografia 
