CPF;Questões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
666.826.250-80;B;B;D;C;A;D;B;C;E;A;E;E;B;C;B;A;C;A;D;B;B;B;E;B;E;D;D;A;C;D;C;E;D;C;D;D;E;E;E;E;D;E;B;A;A;B;D;E;E;B;D;C;B;B;C;C;A;D;B;C
9710.773.1042-63;C;E;E;D;E;A;A;C;B;E;D;E;D;A;D;E;D;B;A;E;C;C;B;C;D;C;B;A;E;D;D;B;B;A;E;D;A;A;B;E;B;A;D;B;A;D;E;C;E;A;B;E;D;A;B;A;E;C;E;C
416.285.625-67;D;D;C;E;D;B;C;E;C;D;A;E;C;E;A;B;D;A;B;E;D;B;B;E;C;A;A;A;B;C;B;B;D;B;D;A;B;C;B;D;A;D;C;A;A;A;B;E;E;B;B;D;B;E;E;B;C;B;E;C
5110.924.887-27;C;A;D;B;C;E;A;A;B;A;A;A;A;C;B;E;C;B;E;E;A;B;E;D;E;D;A;B;D;C;A;E;D;C;A;D;B;B;D;C;C;C;B;C;A;A;D;A;C;A;A;A;A;B;E;A;C;C;A;B
669.437.533-92;E;B;E;D;C;B;A;A;A;C;C;B;D;B;C;B;A;B;C;D;E;C;B;A;B;C;A;D;B;D;B;B;B;E;C;E;C;C;E;A;D;B;C;B;E;A;B;A;B;C;E;D;A;A;A;C;A;E;B;E
299.727.975-77;C;B;B;A;D;E;A;E;E;A;D;B;D;C;C;B;B;E;E;A;C;D;A;A;E;D;B;C;A;E;B;B;B;A;B;D;B;B;B;D;D;D;C;C;C;E;D;E;B;A;E;B;B;B;A;C;C;E;B;A
1011.1075.166-41;D;B;A;A;B;C;A;B;B;A;A;C;B;D;A;A;E;D;A;C;A;C;D;D;A;D;B;E;C;B;E;A;D;E;C;D;D;C;B;E;C;C;C;D;A;A;C;B;E;C;A;C;E;C;A;B;B;A;B;B
946.346.765-51;A;D;E;C;D;A;C;B;A;C;C;D;A;D;E;D;E;A;D;B;D;C;A;A;A;C;C;D;C;C;C;A;E;A;C;B;E;B;A;D;B;D;A;E;C;D;E;B;E;D;C;D;C;E;C;A;A;A;D;A
337.272.184-92;A;B;A;A;C;E;C;E;A;C;A;E;A;E;A;C;E;A;A;D;B;C;C;D;D;C;C;A;C;D;A;B;A;E;B;D;C;B;A;C;E;B;D;D;D;C;E;D;C;D;E;D;E;A;C;D;E;A;E;B
954.364.444-77;E;A;D;B;E;D;D;A;E;C;A;B;E;A;E;E;B;C;E;E;A;D;B;E;D;C;A;A;A;A;B;A;D;A;C;C;A;A;B;A;E;A;D;A;C;E;C;D;C;E;A;B;D;B;D;E;D;C;C;D
