"Questão;Gabarito;Matérias;;Cursos;Código do Curso;CPF;Curso Pretendido"
"1;E;Português ;1 a 12;Engenharia Civil;1;666.826.250-80;4"
"2;D;Matemática;13 a 21;Engenharia Sanitária ;2;9710.773.1042-63;15"
"3;B;Física;22 a 28;Enfermagem ;3;416.285.625-67;1"
"4;D;Química ;29 a 35;Administração;4;5110.924.887-27;10"
"5;D;História ;36 a 41;Economia ;5;669.437.533-92;10"
"6;C;Geografia ;42 a 48;Engenharia Mecânica;6;299.727.975-77;15"
"7;C;Inglês;49 a 53;Design;7;1011.1075.166-41;18"
"8;E;Interdisciplinar ;54 a 60;Direito;8;946.346.765-51;18"
"9;C;;;Medicina ;9;337.272.184-92;4"
"10;E;;;Geografia ;10;954.364.444-77;7"
"11;C;;;Odontologia ;11;246.492.996-63;14"
"12;D;;;Pedagofgia ;12;1084.343.435-85;18"
"13;E;;;Letras Francês ;13;528.483.305-23;8"
"14;E;;;Geologia ;14;695.292.474-41;9"
"15;A;;;Farmácia ;15;303.876.908-33;18"
"16;E;;;Biologia;16;245.6310.333-53;12"
"17;E;;;Relações Internacionais ;17;827.669.9105-64;12"
"18;A;;;Educação Física;18;387.109.233-210;13"
"19;D;;;;;863.637.999-92;13"
"20;E;;;;;688.118.5310-44;3"
"21;C;;;;;581.472.950-76;3"
"22;B;;;;;945.925.773-51;17"
"23;C;;;;;916.629.522-43;6"
"24;B;;;;;262.513.684-16;13"
"25;D;;;;;350.472.138-210;17"
"26;E;;;;;223.473.799-75;17"
"27;B;;;;;973.700.662-92;12"
"28;B;;;;;836.932.223-98;15"
"29;B;;;;;772.073.790-00;12"
"30;C;;;;;966.187.877-17;15"
"31;E;;;;;143.626.132-16;12"
"32;B;;;;;840.1045.610-73;15"
"33;A;;;;;010.715.382-38;18"
"34;E;;;;;954.023.248-72;1"
"35;C;;;;;10710.692.242-23;5"
"36;D;;;;;357.811.264-73;15"
"37;E;;;;;559.810.261-75;10"
"38;E;;;;;371.934.306-03;1"
"39;E;;;;;158.123.1023-65;9"
"40;B;;;;;954.485.258-27;2"
"41;D;;;;;1082.967.952-23;14"
"42;E;;;;;717.871.192-13;4"
"43;B;;;;;524.1062.153-27;1"
"44;D;;;;;374.281.953-87;18"
"45;A;;;;;835.8010.389-38;9"
"46;C;;;;;284.278.846-46;4"
"47;A;;;;;159.1009.987-32;4"
"48;B;;;;;950.912.141-81;11"
"49;E;;;;;142.101.996-84;14"
"50;E;;;;;945.261.932-17;8"
"51;C;;;;;569.2110.227-55;16"
"52;B;;;;;618.426.542-210;13"
"53;D;;;;;371.629.499-81;11"
"54;C;;;;;225.1057.355-73;4"
"55;E;;;;;491.541.870-31;16"
"56;D;;;;;693.834.533-22;7"
"57;D;;;;;256.860.1057-23;4"
"58;B;;;;;727.526.1910-16;14"
"59;C;;;;;996.133.646-85;16"
"60;E;;;;;851.492.384-40;8"
";;;;;;451.349.9105-310;18"
";;;;;;638.1109.7310-53;8"
";;;;;;9510.776.144-85;4"
";;;;;;373.232.366-69;7"
";;;;;;176.521.4107-68;10"
";;;;;;668.265.823-87;5"
";;;;;;190.7109.476-80;14"
";;;;;;426.234.993-109;4"
";;;;;;165.6107.711-08;15"
";;;;;;673.1033.563-34;17"
";;;;;;881.737.112-19;13"
";;;;;;181.950.873-16;11"
";;;;;;082.9110.143-31;16"
";;;;;;337.872.10410-44;2"
";;;;;;675.643.640-59;14"
";;;;;;1025.855.567-07;18"
";;;;;;940.775.345-49;13"
";;;;;;688.645.354-20;3"
";;;;;;031.378.811-44;15"
";;;;;;5510.4610.0102-75;14"
";;;;;;646.347.668-710;17"
";;;;;;2107.492.8105-22;18"
";;;;;;859.566.651-72;6"
";;;;;;075.835.847-48;15"
";;;;;;728.6101.395-55;17"
";;;;;;289.866.375-910;3"
";;;;;;949.1093.645-25;3"
";;;;;;984.145.383-61;12"
";;;;;;554.123.055-44;11"
";;;;;;7810.713.0710-710;10"
";;;;;;623.185.776-79;17"
";;;;;;668.743.168-55;8"
";;;;;;614.0100.731-98;4"
";;;;;;1025.755.3106-42;14"
";;;;;;020.3102.240-101;13"
";;;;;;840.191.371-45;12"
";;;;;;924.364.635-79;12"
";;;;;;818.1095.1021-85;7"
";;;;;;935.788.418-1010;15"
";;;;;;1050.541.291-65;13"
";;;;;;345.357.181-63;14"
";;;;;;498.423.478-74;13"
";;;;;;381.873.631-61;1"
";;;;;;1088.623.545-15;14"
";;;;;;6310.891.742-49;14"
";;;;;;493.1047.216-26;7"
";;;;;;698.831.740-41;4"
";;;;;;157.145.658-62;9"
";;;;;;030.1018.323-88;17"
";;;;;;911.265.956-17;2"
";;;;;;755.449.445-72;14"
";;;;;;177.312.677-28;15"
";;;;;;246.913.998-102;17"
";;;;;;557.801.099-1010;8"
";;;;;;497.231.9310-47;17"
";;;;;;494.7710.995-48;4"
";;;;;;283.387.1001-67;1"
";;;;;;7710.140.480-62;9"
";;;;;;234.160.287-09;10"
";;;;;;423.140.430-64;15"
";;;;;;196.010.796-100;10"
