CPF,Correção,Percentual,Cursos
010.715.382-38,9,0.15,Educação Física
020.3102.240-101,14,0.23333333333333334,Letras Francês 
030.1018.323-88,9,0.15,Relações Internacionais 
031.378.811-44,12,0.2,Farmácia 
075.835.847-48,13,0.21666666666666667,Farmácia 
082.9110.143-31,10,0.16666666666666666,Biologia
1011.1075.166-41,13,0.21666666666666667,Educação Física
1025.755.3106-42,15,0.25,Geologia 
1025.855.567-07,13,0.21666666666666667,Educação Física
1050.541.291-65,14,0.23333333333333334,Letras Francês 
10710.692.242-23,14,0.23333333333333334,Economia 
1082.967.952-23,10,0.16666666666666666,Geologia 
1084.343.435-85,17,0.2833333333333333,Educação Física
1088.623.545-15,14,0.23333333333333334,Geologia 
142.101.996-84,11,0.18333333333333332,Geologia 
143.626.132-16,8,0.13333333333333333,Pedagofgia 
157.145.658-62,17,0.2833333333333333,Medicina 
158.123.1023-65,10,0.16666666666666666,Medicina 
159.1009.987-32,12,0.2,Administração
165.6107.711-08,10,0.16666666666666666,Farmácia 
176.521.4107-68,12,0.2,Geografia 
177.312.677-28,17,0.2833333333333333,Farmácia 
181.950.873-16,10,0.16666666666666666,Odontologia 
190.7109.476-80,6,0.1,Geologia 
196.010.796-100,10,0.16666666666666666,Geografia 
2107.492.8105-22,8,0.13333333333333333,Educação Física
223.473.799-75,8,0.13333333333333333,Relações Internacionais 
225.1057.355-73,8,0.13333333333333333,Administração
234.160.287-09,12,0.2,Geografia 
245.6310.333-53,13,0.21666666666666667,Pedagofgia 
246.492.996-63,8,0.13333333333333333,Geologia 
246.913.998-102,17,0.2833333333333333,Relações Internacionais 
256.860.1057-23,16,0.26666666666666666,Administração
262.513.684-16,12,0.2,Letras Francês 
283.387.1001-67,14,0.23333333333333334,Engenharia Civil
284.278.846-46,12,0.2,Administração
289.866.375-910,10,0.16666666666666666,Enfermagem 
299.727.975-77,9,0.15,Farmácia 
303.876.908-33,21,0.35,Educação Física
337.272.184-92,15,0.25,Administração
337.872.10410-44,8,0.13333333333333333,Engenharia Sanitária 
345.357.181-63,7,0.11666666666666667,Geologia 
350.472.138-210,15,0.25,Relações Internacionais 
357.811.264-73,10,0.16666666666666666,Farmácia 
371.629.499-81,13,0.21666666666666667,Odontologia 
371.934.306-03,14,0.23333333333333334,Engenharia Civil
373.232.366-69,10,0.16666666666666666,Design
374.281.953-87,12,0.2,Educação Física
381.873.631-61,11,0.18333333333333332,Engenharia Civil
387.109.233-210,9,0.15,Letras Francês 
416.285.625-67,17,0.2833333333333333,Engenharia Civil
423.140.430-64,10,0.16666666666666666,Farmácia 
426.234.993-109,11,0.18333333333333332,Administração
451.349.9105-310,13,0.21666666666666667,Educação Física
491.541.870-31,12,0.2,Biologia
493.1047.216-26,16,0.26666666666666666,Design
494.7710.995-48,9,0.15,Administração
497.231.9310-47,9,0.15,Relações Internacionais 
498.423.478-74,13,0.21666666666666667,Letras Francês 
5110.924.887-27,9,0.15,Geografia 
524.1062.153-27,9,0.15,Engenharia Civil
528.483.305-23,13,0.21666666666666667,Direito
5510.4610.0102-75,12,0.2,Geologia 
554.123.055-44,17,0.2833333333333333,Odontologia 
557.801.099-1010,13,0.21666666666666667,Direito
559.810.261-75,13,0.21666666666666667,Geografia 
569.2110.227-55,11,0.18333333333333332,Biologia
581.472.950-76,10,0.16666666666666666,Enfermagem 
614.0100.731-98,11,0.18333333333333332,Administração
618.426.542-210,13,0.21666666666666667,Letras Francês 
623.185.776-79,13,0.21666666666666667,Relações Internacionais 
6310.891.742-49,12,0.2,Geologia 
638.1109.7310-53,11,0.18333333333333332,Direito
646.347.668-710,17,0.2833333333333333,Relações Internacionais 
666.826.250-80,13,0.21666666666666667,Administração
668.265.823-87,14,0.23333333333333334,Economia 
668.743.168-55,12,0.2,Direito
669.437.533-92,10,0.16666666666666666,Geografia 
673.1033.563-34,8,0.13333333333333333,Relações Internacionais 
675.643.640-59,14,0.23333333333333334,Geologia 
688.118.5310-44,11,0.18333333333333332,Enfermagem 
688.645.354-20,13,0.21666666666666667,Enfermagem 
693.834.533-22,8,0.13333333333333333,Design
695.292.474-41,13,0.21666666666666667,Medicina 
698.831.740-41,12,0.2,Administração
717.871.192-13,9,0.15,Administração
727.526.1910-16,12,0.2,Geologia 
728.6101.395-55,12,0.2,Relações Internacionais 
755.449.445-72,8,0.13333333333333333,Geologia 
7710.140.480-62,17,0.2833333333333333,Medicina 
772.073.790-00,17,0.2833333333333333,Pedagofgia 
7810.713.0710-710,11,0.18333333333333332,Geografia 
818.1095.1021-85,14,0.23333333333333334,Design
827.669.9105-64,8,0.13333333333333333,Pedagofgia 
835.8010.389-38,9,0.15,Medicina 
836.932.223-98,17,0.2833333333333333,Farmácia 
840.1045.610-73,11,0.18333333333333332,Farmácia 
840.191.371-45,13,0.21666666666666667,Pedagofgia 
851.492.384-40,11,0.18333333333333332,Direito
859.566.651-72,14,0.23333333333333334,Engenharia Mecânica
863.637.999-92,9,0.15,Letras Francês 
881.737.112-19,12,0.2,Letras Francês 
911.265.956-17,9,0.15,Engenharia Sanitária 
916.629.522-43,11,0.18333333333333332,Engenharia Mecânica
924.364.635-79,24,0.4,Pedagofgia 
935.788.418-1010,10,0.16666666666666666,Farmácia 
940.775.345-49,15,0.25,Letras Francês 
945.261.932-17,12,0.2,Direito
945.925.773-51,10,0.16666666666666666,Relações Internacionais 
946.346.765-51,14,0.23333333333333334,Educação Física
949.1093.645-25,6,0.1,Enfermagem 
950.912.141-81,15,0.25,Odontologia 
9510.776.144-85,12,0.2,Administração
954.023.248-72,16,0.26666666666666666,Engenharia Civil
954.364.444-77,11,0.18333333333333332,Design
954.485.258-27,10,0.16666666666666666,Engenharia Sanitária 
966.187.877-17,11,0.18333333333333332,Farmácia 
9710.773.1042-63,12,0.2,Farmácia 
973.700.662-92,15,0.25,Pedagofgia 
984.145.383-61,11,0.18333333333333332,Pedagofgia 
996.133.646-85,11,0.18333333333333332,Biologia
